employee_id,name,email,department,position,base_salary,joining_date
1,Employee 1,emp1@demo.com,Sales,Sales Executive,63158.0,2021-08-21
2,Employee 2,emp2@demo.com,HR,HR Executive,67194.0,2021-08-21
3,Employee 3,emp3@demo.com,Sales,Sales Manager,41023.0,2021-06-21
4,Employee 4,emp4@demo.com,HR,HR Manager,32433.0,2022-05-01
5,Employee 5,emp5@demo.com,Sales,Sales Manager,53693.0,2023-12-25
6,Employee 6,emp6@demo.com,Engineering,DevOps,70658.0,2020-12-16
7,Employee 7,emp7@demo.com,Operations,Ops Manager,44118.0,2024-03-12
8,Employee 8,emp8@demo.com,Sales,Sales Manager,75680.0,2021-05-19
9,Employee 9,emp9@demo.com,Marketing,SEO Specialist,42502.0,2020-04-25
10,Employee 10,emp10@demo.com,Sales,Sales Manager,33433.0,2020-09-26
11,Employee 11,emp11@demo.com,Marketing,Content Marketer,51483.0,2022-08-15
12,Employee 12,emp12@demo.com,Finance,Analyst,70920.0,2022-02-08
13,Employee 13,emp13@demo.com,Sales,Sales Manager,26021.0,2024-06-10
14,Employee 14,emp14@demo.com,Sales,Sales Manager,34692.0,2020-10-12
15,Employee 15,emp15@demo.com,HR,HR Manager,56557.0,2022-08-14
16,Employee 16,emp16@demo.com,Sales,Sales Executive,49253.0,2023-02-15
17,Employee 17,emp17@demo.com,Marketing,Content Marketer,49243.0,2022-12-13
18,Employee 18,emp18@demo.com,Engineering,Software Engineer,96214.0,2023-01-25
19,Employee 19,emp19@demo.com,Engineering,Data Engineer,107592.0,2022-08-24
20,Employee 20,emp20@demo.com,Finance,Finance Manager,74504.0,2021-03-01
21,Employee 21,emp21@demo.com,Finance,Accountant,38561.0,2020-09-07
22,Employee 22,emp22@demo.com,Engineering,Data Engineer,97256.0,2024-08-05
23,Employee 23,emp23@demo.com,Finance,Analyst,59538.0,2021-01-03
24,Employee 24,emp24@demo.com,Marketing,Brand Manager,41773.0,2021-01-05
25,Employee 25,emp25@demo.com,HR,HR Executive,36910.0,2024-07-27
26,Employee 26,emp26@demo.com,Engineering,DevOps,68419.0,2023-03-07
27,Employee 27,emp27@demo.com,Engineering,Data Engineer,99268.0,2022-05-23
28,Employee 28,emp28@demo.com,Marketing,Brand Manager,61827.0,2023-07-27
29,Employee 29,emp29@demo.com,Finance,Analyst,57299.0,2020-10-13
30,Employee 30,emp30@demo.com,Operations,Ops Associate,27693.0,2022-12-12
31,Employee 31,emp31@demo.com,Sales,Sales Manager,73925.0,2024-11-26
32,Employee 32,emp32@demo.com,Sales,Sales Executive,69262.0,2024-01-01
33,Employee 33,emp33@demo.com,Engineering,DevOps,106373.0,2019-04-13
34,Employee 34,emp34@demo.com,Engineering,DevOps,103053.0,2021-09-05
35,Employee 35,emp35@demo.com,Engineering,DevOps,58545.0,2022-08-15
36,Employee 36,emp36@demo.com,Finance,Analyst,65303.0,2019-04-17
37,Employee 37,emp37@demo.com,Operations,Ops Associate,42675.0,2024-07-02
38,Employee 38,emp38@demo.com,Finance,Accountant,36636.0,2019-08-17
39,Employee 39,emp39@demo.com,Finance,Accountant,63673.0,2020-12-22
40,Employee 40,emp40@demo.com,Marketing,SEO Specialist,74717.0,2020-05-12
41,Employee 41,emp41@demo.com,HR,HR Manager,56309.0,2022-07-11
42,Employee 42,emp42@demo.com,Finance,Accountant,60342.0,2024-08-05
43,Employee 43,emp43@demo.com,Sales,Sales Manager,25197.0,2024-11-16
44,Employee 44,emp44@demo.com,Engineering,Software Engineer,87107.0,2021-06-16
45,Employee 45,emp45@demo.com,Marketing,Brand Manager,30811.0,2021-04-19
46,Employee 46,emp46@demo.com,HR,HR Executive,60206.0,2021-04-07
47,Employee 47,emp47@demo.com,Sales,Sales Executive,44360.0,2020-08-01
48,Employee 48,emp48@demo.com,Finance,Accountant,74384.0,2020-07-10
49,Employee 49,emp49@demo.com,Finance,Finance Manager,81843.0,2020-09-20
50,Employee 50,emp50@demo.com,Sales,Sales Executive,27049.0,2019-12-05
51,Employee 51,emp51@demo.com,Marketing,Brand Manager,35158.0,2019-09-03
52,Employee 52,emp52@demo.com,Finance,Finance Manager,39499.0,2024-08-01
53,Employee 53,emp53@demo.com,Sales,Sales Executive,75800.0,2022-06-08
54,Employee 54,emp54@demo.com,Sales,Sales Manager,73354.0,2024-09-03
55,Employee 55,emp55@demo.com,Engineering,Software Engineer,113497.0,2024-02-02
56,Employee 56,emp56@demo.com,Operations,Ops Associate,53643.0,2019-04-01
57,Employee 57,emp57@demo.com,Operations,Ops Associate,46295.0,2022-08-08
58,Employee 58,emp58@demo.com,Finance,Accountant,39735.0,2019-12-27
59,Employee 59,emp59@demo.com,Finance,Analyst,54830.0,2024-06-06
60,Employee 60,emp60@demo.com,Marketing,Brand Manager,38677.0,2021-11-02
61,Employee 61,emp61@demo.com,Marketing,Content Marketer,60352.0,2022-01-05
62,Employee 62,emp62@demo.com,Sales,Sales Executive,34007.0,2021-04-03
63,Employee 63,emp63@demo.com,Engineering,Data Engineer,118744.0,2022-12-14
64,Employee 64,emp64@demo.com,Marketing,Content Marketer,60635.0,2019-05-24
65,Employee 65,emp65@demo.com,Marketing,SEO Specialist,28301.0,2023-03-01
66,Employee 66,emp66@demo.com,Sales,Sales Executive,35492.0,2023-07-01
67,Employee 67,emp67@demo.com,Finance,Analyst,69584.0,2020-06-26
68,Employee 68,emp68@demo.com,Finance,Analyst,71631.0,2020-06-23
69,Employee 69,emp69@demo.com,HR,HR Executive,46538.0,2020-02-26
70,Employee 70,emp70@demo.com,Engineering,Data Engineer,99748.0,2020-07-26
71,Employee 71,emp71@demo.com,Finance,Analyst,64592.0,2023-12-26
72,Employee 72,emp72@demo.com,Engineering,Data Engineer,115316.0,2022-01-08
73,Employee 73,emp73@demo.com,Operations,Ops Manager,35893.0,2022-03-23
74,Employee 74,emp74@demo.com,Sales,Sales Manager,38121.0,2024-03-25
75,Employee 75,emp75@demo.com,HR,HR Executive,52677.0,2020-10-22
76,Employee 76,emp76@demo.com,Engineering,Data Engineer,115313.0,2024-06-11
77,Employee 77,emp77@demo.com,Sales,Sales Executive,73096.0,2023-12-12
78,Employee 78,emp78@demo.com,Sales,Sales Executive,46606.0,2022-06-13
79,Employee 79,emp79@demo.com,Sales,Sales Manager,29142.0,2021-07-08
80,Employee 80,emp80@demo.com,Sales,Sales Manager,53940.0,2020-12-10
81,Employee 81,emp81@demo.com,Operations,Ops Associate,46136.0,2021-12-26
82,Employee 82,emp82@demo.com,HR,HR Executive,62217.0,2023-07-09
83,Employee 83,emp83@demo.com,Sales,Sales Executive,75816.0,2020-10-01
84,Employee 84,emp84@demo.com,HR,HR Manager,37805.0,2024-09-08
85,Employee 85,emp85@demo.com,Marketing,SEO Specialist,73952.0,2023-07-05
86,Employee 86,emp86@demo.com,Operations,Ops Associate,33130.0,2022-10-16
